Liga-ID;Liga-Name;Einladungslink;Teilnehmer1;Teilnehmer2;Teilnehmer3;Teilnehmer4;Teilnehmer5;Teilnehmer6;Teilnehmer7;Teilnehmer8;Teilnehmer9;Teilnehmer10;Teilnehmer11;Teilnehmer12;;;;
840593835141742592;CFFC RL Nord II;https://sleeper.app/i/jPG0j2JdL21x;qbbeastmode;flogge;lu1gi;mottisson;hamburghammel;GreenBay1887;IvanSorenson;elviselch;sonnitoro;airturo;Flurin;bigfreez3;;;;
840593890032599040;CFFC RL Nord III;https://sleeper.app/i/QdkPDl7Mm1Qw;JakobsPizza;vomdeich;Philsator;joshbert965;kjellkiperjr;WaVe_;qb12kungen;cardsmo;kanodyas;tuvya;hagemann510;Devin45;;;;
840593953697943552;CFFC RL Nord IV;https://sleeper.app/i/LdPMYMwk2nQb;krausinski;ooitzz;HolgerN;silasfw;njl9611;nick1887;TinoGeisler;mano0220;marito1008;rene;onkelmoehre;obiwanjakobi92;;;;
840594018869051392;CFFC RL Nord V;https://sleeper.app/i/jPG0dmMB46o8;ollinho;KaosKoyote;koffeinjoko;eierbaron;vincewest;Gezerko;leimbach93;midischmidt;dakforceone;nikitos86;chrizzl1989;bastibadgers;;;;
840594075861229568;CFFC RL Nord VI;https://sleeper.app/i/m4O3lPwZ6l55;lilu1970;Niklas1811;DorkPound;land90;dreiz0r;Plewke;claastrowalczyk;stefanmd;owschlager;odiekducks;chexx21;germantexan;;;;
840596586370277376;AFFC RL West I;https://sleeper.app/i/0qK57x95n81V;albatross232;chandler55;esthe;remmpott;capinatore;wildfya;thegermanpatriot;dudefromgermany;Buccaneers47;Nikeymar94;hallesteeler;n93o;;;;
840596642100019200;AFFC RL West II;https://sleeper.app/i/YdEWJP2qmPa4;chickendog369;bransibaer;altmeya;sloppyjoe93;winselstute;teamgronkspike;therootofalleagle;fabilo98;derjonas;benrex;gohawksgo;preusel;;;;
840596694625255424;AFFC RL West III;https://sleeper.app/i/m4O3RRYkdDx5;Maranon10;mph95er;t4ckle;eddinguli;rentix887;birgith;martinchivers;Eckbert;siggivikings;lutz1402;hopem4n;tinosaurier;;;;
840596746475282432;AFFC RL West IV;https://sleeper.app/i/0qK57ZBw0YlW;skip1987;rosingsraiders;derlenz;rexgoldo;nikels93;chaccen;Nik87;fesa;althor03;Yannick04;packersnation93;nillo;;;;
840596807758254080;AFFC RL West V;https://sleeper.app/i/z25L8D4ABEGX;simon150;nFamous;mayus;biba83;eddy;lugobetrugo;sturmtankadi;blackyellowniggi;iqly;Maxibo1848;f4bst3r;pieprichy;;;;
